step,time_s,component,inventory_mol_m2,cumulative_net_in_mol_m2,balance_error_mol_m2,chemistry_error_mol_m3,water_relative_mismatch
10,2000.0,Mg,0.006746588834270273,0.006746588834110814,-7.112366251504909e-17,1.098479938073792e-09,2.177830030029859e-06
10,2000.0,Zz,0.0,0.0,0.0,1.098479938073792e-09,2.177830030029859e-06
11,2200.0,C,0.05126726007289338,-0.0010426876472604725,-4.395355607256235e-16,2.8208546609675977e-09,2.2393098129264155e-06
11,2200.0,Ca,0.05126474545712437,-0.0010452022630294709,-4.553649124439119e-16,2.8208546609675977e-09,2.2393098129264155e-06
11,2200.0,Cl,0.014693825688789021,0.014693825688470148,-1.8735013540549517e-16,2.8208546609675977e-09,2.2393098129264155e-06
11,2200.0,H,17710.50994952869,-0.012202721894624347,-1.5128875929804053e-10,2.8208546609675977e-09,2.2393098129264155e-06
11,2200.0,Mg,0.007349427460163526,0.007349427460004076,-8.066464163292153e-17,2.8208546609675977e-09,2.2393098129264155e-06
11,2200.0,Zz,0.0,0.0,0.0,2.8208546609675977e-09,2.2393098129264155e-06
12,2400.0,C,0.051191714127055234,-0.0011182335930986006,-4.586175189613684e-16,1.7266188478970435e-09,2.2431193106089986e-06
12,2400.0,Ca,0.051189585043348695,-0.0011203626768051126,-4.848552115355176e-16,1.7266188478970435e-09,2.2431193106089986e-06
12,2400.0,Cl,0.01589876028179621,0.01589876028147736,-2.1163626406917047e-16,1.7266188478970435e-09,2.2431193106089986e-06
12,2400.0,H,17710.508948871524,-0.013203379043474683,-1.6713386230549077e-10,1.7266188478970435e-09,2.2431193106089986e-06
12,2400.0,Mg,0.007951509224604626,0.007951509224445196,-1.0061396160665481e-16,1.7266188478970435e-09,2.2431193106089986e-06
12,2400.0,Zz,0.0,0.0,0.0,1.7266188478970435e-09,2.2431193106089986e-06
13,2600.0,C,0.05111662204113463,-0.001193325679019172,-4.90059381963448e-16,1.5205614545266144e-09,2.295914097553975e-06
13,2600.0,Ca,0.051114819246197846,-0.0011951284739559513,-4.959140736948697e-16,1.5205614545266144e-09,2.295914097553975e-06
13,2600.0,Cl,0.0171024842384239,0.0171024842381051,-2.6020852139652106e-16,1.5205614545266144e-09,2.295914097553975e-06
13,2600.0,H,17710.507949219744,-0.014203030799890826,-1.908659896798781e-10,1.5205614545266144e-09,2.295914097553975e-06
13,2600.0,Mg,0.008553044914148737,0.008553044913989331,-1.249000902703301e-16,1.5205614545266144e-09,2.295914097553975e-06
13,2600.0,Zz,0.0,0.0,0.0,1.5205614545266144e-09,2.295914097553975e-06
14,2800.0,C,0.05104188352838914,-0.0012680641917645827,-5.689893001203927e-16,3.106649068950513e-09,2.2992140571651e-06
14,2800.0,Ca,0.051040357275248215,-0.0012695904449055032,-5.750608322863116e-16,3.106649068950513e-09,2.2992140571651e-06
14,2800.0,Cl,0.018305313100610413,0.01830531310029167,-3.191891195797325e-16,3.106649068950513e-09,2.2992140571651e-06
14,2800.0,H,17710.506950311308,-0.01520193921066948,-2.156639311579056e-10,3.106649068950513e-09,2.2992140571651e-06
14,2800.0,Mg,0.00915418280344614,0.009154182803286759,-1.491862189340054e-16,3.106649068950513e-09,2.2992140571651e-06
14,2800.0,Zz,0.0,0.0,0.0,3.106649068950513e-09,2.2992140571651e-06
15,3000.0,C,0.05096741878512553,-0.001342528935028125,-6.403298030699389e-16,2.1316282072803006e-09,2.346506301938167e-06
15,3000.0,Ca,0.05096612699489701,-0.0013438207252566125,-6.678685382510707e-16,2.1316282072803006e-09,2.346506301938167e-06
15,3000.0,Cl,0.019507473990058727,0.019507473989740055,-3.885780586188048e-16,2.1316282072803006e-09,2.346506301938167e-06
15,3000.0,H,17710.505951957573,-0.016200292892577295,-2.6851409984374186e-10,2.1316282072803006e-09,2.346506301938167e-06
15,3000.0,Mg,0.009755028785257885,0.009755028785098518,-1.6306400674181987e-16,2.1316282072803006e-09,2.346506301938167e-06
15,3000.0,Zz,0.0,0.0,0.0,2.1316282072803006e-09,2.346506301938167e-06
16,3200.0,C,0.05089317532289242,-0.0014167723972611267,-7.461479351045242e-16,3.318234575999668e-09,2.348111825638266e-06
16,3200.0,Ca,0.05089208232669151,-0.0014178653934620454,-7.35089072945172e-16,3.318234575999668e-09,2.348111825638266e-06
16,3200.0,Cl,0.02070913240413351,0.020709132403814858,-4.0939474033052647e-16,3.318234575999668e-09,2.348111825638266e-06
16,3200.0,H,17710.50495402107,-0.017198229285625644,-3.7771030747535406e-10,3.318234575999668e-09,2.348111825638266e-06
