step,time_s,component,inventory_mol_m2,cumulative_net_in_mol_m2,balance_error_mol_m2,chemistry_error_mol_m3,water_relative_mismatch
10,10.0,O,1093.72981461812,-2.9771897333495815e-05,6.4111481490954254e-12,1.0629719326971099e-08,3.757202133414239e-06
10,10.0,Zz,0.0,0.0,0.0,1.0629719326971099e-08,3.757202133414239e-06
11,11.0,Cl,14.758321503349677,-3.010867707702042e-07,3.833530771207559e-14,1.0373923942097463e-08,3.7572021331921945e-06
11,11.0,H,2187.459625949488,-6.28305431390702e-05,9.78697177011871e-12,1.0373923942097463e-08,3.7572021331921945e-06
11,11.0,Na,14.758321503349677,-3.010867707976703e-07,3.83627738141815e-14,1.0373923942097463e-08,3.7572021331921945e-06
11,11.0,O,1093.7298129747462,-3.1415271567191325e-05,6.937505190002073e-12,1.0373923942097463e-08,3.7572021331921945e-06
11,11.0,Zz,0.0,0.0,0.0,1.0373923942097463e-08,3.7572021331921945e-06
12,12.0,Cl,14.758321488408336,-3.160281092279867e-07,3.6183892148108985e-14,1.0629719326971099e-08,3.7572021232001873e-06
12,12.0,H,2187.4596228315418,-6.594848955471109e-05,1.0095090074210139e-11,1.0629719326971099e-08,3.7572021232001873e-06
12,12.0,Na,14.758321488408336,-3.160281092554528e-07,3.621135825021489e-14,1.0629719326971099e-08,3.7572021232001873e-06
12,12.0,O,1093.7298114157727,-3.297424477477739e-05,6.636582613756686e-12,1.0629719326971099e-08,3.7572021232001873e-06
12,12.0,Zz,0.0,0.0,0.0,1.0629719326971099e-08,3.7572021232001873e-06
13,13.0,Cl,14.7583214741619,-3.3027455377605233e-07,4.381290577521474e-14,1.035971308738226e-08,3.7572021187592952e-06
13,13.0,H,2187.4596198586046,-6.892142603039998e-05,9.389012354046877e-12,1.035971308738226e-08,3.7572021187592952e-06
13,13.0,Na,14.758321474161896,-3.302745538053495e-07,4.028948927199387e-14,1.035971308738226e-08,3.7572021187592952e-06
13,13.0,O,1093.729809929304,-3.446071301238746e-05,6.2833093762704184e-12,1.035971308738226e-08,3.7572021187592952e-06
13,13.0,Zz,0.0,0.0,0.0,1.035971308738226e-08,3.7572021187592952e-06
14,14.0,Cl,14.758321460520259,-3.4391619314695416e-07,4.2477866177405104e-14,1.057287590811029e-08,3.7572021427401125e-06
14,14.0,H,2187.4596170118784,-7.176815230332781e-05,9.51468595480464e-12,1.057287590811029e-08,3.7572021427401125e-06
14,14.0,Na,14.758321460520257,-3.4391619317625134e-07,4.0730806513584485e-14,1.057287590811029e-08,3.7572021427401125e-06
14,14.0,O,1093.7298085059417,-3.5884076148617e-05,7.028032825574359e-12,1.057287590811029e-08,3.7572021427401125e-06
14,14.0,Zz,0.0,0.0,0.0,1.057287590811029e-08,3.7572021427401125e-06
15,15.0,Cl,14.758321447411072,-3.570253805020061e-07,4.320780269599257e-14,1.0331291377951857e-08,3.757202140297622e-06
15,15.0,H,2187.459614276265,-7.450376691226495e-05,1.0489337114280746e-11,1.0331291377951857e-08,3.757202140297622e-06
15,15.0,Na,14.758321447411069,-3.5702538051848574e-07,3.967156867845561e-14,1.0331291377951857e-08,3.757202140297622e-06
15,15.0,O,1093.729807138135,-3.725188345285119e-05,7.515124027907775e-12,1.0331291377951857e-08,3.757202140297622e-06
15,15.0,Zz,0.0,0.0,0.0,1.0331291377951857e-08,3.757202140297622e-06
16,16.0,Cl,14.758321434775343,-3.696611149302344e-07,4.8728391492853135e-14,1.0629719326971099e-08,3.757202147625094e-06
16,16.0,H,2187.45961163945,-7.714058172893497e-05,1.0535922096788566e-11,1.0629719326971099e-08,3.757202147625094e-06
16,16.0,Na,14.758321434775342,-3.6966111494671407e-07,4.696851431471643e-14,1.0629719326971099e-08,3.757202147625094e-06
16,16.0,O,1093.7298058197277,-3.8570290860951825e-05,7.76555581720028e-12,1.0629719326971099e-08,3.757202147625094e-06
16,16.0,Zz,0.0,0.0,0.0,1.0629719326971099e-08,3.757202147625094e-06
17,17.0,Cl,14.758321422564276,-3.818721846532418e-07,5.0738856909808805e-14,1.0686562745831907e-08,3.7572021642784392e-06
17,17.0,H,2187.4596090912546,-7.96887777002707e-05,1.1081924142447921e-11,1.0686562745831907e-08,3.7572021642784392e-06
17,17.0,Na,14.758321422564272,-3.818721846623972e-07,4.719529859837694e-14,1.0686562745831907e-08,3.7572021642784392e-06
17,17.0,O,1093.7298045456298,-3.9844388846385314e-05,7.810948787182088e-12,1.0686562745831907e-08,3.7572021642784392e-06
17,17.0,Zz,0.0,0.0,0.0,1.0686562745831907e-08,3.7572021642784392e-06
18,18.0,Cl,14.758321410737011,-3.936994525153036e-07,5.409981122319688e-14,1.0615508472255897e-08,3.7572021167608938e-06
18,18.0,H,2187.459606623151,-8.215688243156741e-05,1.2310314687112925e-11,1.0615508472255897e-08,3.7572021167608938e-06
18,18.0,Na,14.758321410737011,-3.936994525317833e-07,5.411629088446042e-14,1.0615508472255897e-08,3.7572021167608938e-06
18,18.0,O,1093.7298033115776,-4.107844121179929e-05,7.970162331223489e-12,1.0615508472255897e-08,3.7572021167608938e-06
18,18.0,Zz,0.0,0.0,0.0,1.0615508472255897e-08,3.7572021167608938e-06
19,19.0,Cl,14.758321399258925,-4.0517754092371087e-07,5.6471031889915535e-14,1.0615508472255897e-08,3.7572021298615255e-06
19,19.0,H,2187.4596042279145,-8.45521204882229e-05,1.376058066050647e-11,1.0615508472255897e-08,3.7572021298615255e-06
19,19.0,Na,14.758321399258925,-4.051775409438527e-07,5.649117369812653e-14,1.0615508472255897e-08,3.7572021298615255e-06
19,19.0,O,1093.7298021139595,-4.227606023989266e-05,8.922434615958857e-12,1.0615508472255897e-08,3.7572021298615255e-06
19,19.0,Zz,0.0,0.0,0.0,1.0615508472255897e-08,3.7572021298615255e-06
20,20.0,Cl,14.758321388100375,-4.163360912569577e-07,5.716443397166379e-14,1.0615508472255897e-08,3.7572021400755773e-06
20,20.0,H,2187.459601899357,-8.688067777053545e-05,1.3585816824833452e-11,1.0615508472255897e-08,3.7572021400755773e-06
20,20.0,Na,14.758321388100375,-4.1633609128808595e-07,5.719556222071715e-14,1.0615508472255897e-08,3.7572021400755773e-06
20,20.0,O,1093.7298009496799,-4.3440338880814555e-05,7.925323618944782e-12,1.0615508472255897e-08,3.7572021400755773e-06
20,20.0,Zz,0.0,0.0,0.0,1.0615508472255897e-08,3.7572021400755773e-06
21,21.0,Cl,14.758321377235744,-4.272007182107125e-07,5.225734801506552e-14,1.0629719326971099e-08,3.757202134524462e-06
21,21.0,H,2187.459599632136,-8.914789933096956e-05,1.4011862118712762e-11,1.0629719326971099e-08,3.757202134524462e-06
21,21.0,Na,14.758321377235744,-4.2720071823451645e-07,5.228115197022397e-14,1.0629719326971099e-08,3.757202134524462e-06
21,21.0,O,1093.7297998160698,-4.4573949660797234e-05,8.592859239366264e-12,1.0629719326971099e-08,3.757202134524462e-06
21,21.0,Zz,0.0,0.0,0.0,1.0629719326971099e-08,3.757202134524462e-06
22,22.0,Cl,14.758321366642726,-4.377937425235585e-07,5.85518817743211e-14,1.0302869668521453e-08,3.7572021522880306e-06
22,22.0,H,2187.459597421593,-9.135844293114094e-05,1.4823217116656864e-11,1.0302869668521453e-08,3.7572021522880306e-06
22,22.0,Na,14.758321366642724,-4.377937425162342e-07,5.676820064102594e-14,1.0302869668521453e-08,3.7572021522880306e-06
22,22.0,O,1093.7297987107981,-4.567922146064855e-05,8.770928685490446e-12,1.0302869668521453e-08,3.7572021522880306e-06
