time_s,x_m,phi,De_m2_s,pH,Cl_c_mol_m3_water,Cl_total_mol_m3_bulk,H_c_mol_m3_water,H_total_mol_m3_bulk,Na_c_mol_m3_water,Na_total_mol_m3_bulk,O_c_mol_m3_water,O_total_mol_m3_bulk,Zz_c_mol_m3_water,Zz_total_mol_m3_bulk
0.0,5e-05,1.0,1.6106286393345216e-09,7.007852786302843,981.277230443145,981.277230443145,108938.20569302792,108938.20569302313,981.277230443145,981.277230443145,54469.10284651397,54469.10284651167,-1.793322909333754e-12,0.0
0.0,0.00015000000000000001,1.0,1.6106286393345216e-09,7.007852786302843,981.277230443145,981.277230443145,108938.20569302792,108938.20569302313,981.277230443145,981.277230443145,54469.10284651397,54469.10284651167,-1.793322909333754e-12,0.0
0.0,0.00025,1.0,1.6106286393345216e-09,7.007852786302843,981.277230443145,981.277230443145,108938.20569302792,108938.20569302313,981.277230443145,981.277230443145,54469.10284651397,54469.10284651167,-1.793322909333754e-12,0.0
0.0,0.00035000000000000005,1.0,1.6106286393345216e-09,7.007852786302843,981.277230443145,981.277230443145,108938.20569302792,108938.20569302313,981.277230443145,981.277230443145,54469.10284651397,54469.10284651167,-1.793322909333754e-12,0.0
0.0,0.00045,1.0,1.6106286393345216e-09,7.007852786302843,981.277230443145,981.277230443145,108938.20569302792,108938.20569302313,981.277230443145,981.277230443145,54469.10284651397,54469.10284651167,-1.793322909333754e-12,0.0
0.0,0.00055,1.0,1.6106286393345216e-09,7.007852786302843,981.277230443145,981.277230443145,108938.20569302792,108938.20569302313,981.277230443145,981.277230443145,54469.10284651397,54469.10284651167,-1.793322909333754e-12,0.0
0.0,0.00065,1.0,1.6106286393345216e-09,7.007852786302843,981.277230443145,981.277230443145,108938.20569302792,108938.20569302313,981.277230443145,981.277230443145,54469.10284651397,54469.10284651167,-1.793322909333754e-12,0.0
0.0,0.00075,1.0,1.6106286393345216e-09,7.007852786302843,981.277230443145,981.277230443145,108938.20569302792,108938.20569302313,981.277230443145,981.277230443145,54469.10284651397,54469.10284651167,-1.793322909333754e-12,0.0
0.0,0.0008500000000000001,1.0,1.6106286393345216e-09,7.007852786302843,981.277230443145,981.277230443145,108938.20569302792,108938.20569302313,981.277230443145,981.277230443145,54469.10284651397,54469.10284651167,-1.793322909333754e-12,0.0
0.0,0.0009500000000000001,1.0,1.6106286393345216e-09,7.007852786302843,981.277230443145,981.277230443145,108938.20569302792,108938.20569302313,981.277230443145,981.277230443145,54469.10284651397,54469.10284651167,-1.793322909333754e-12,0.0
0.0,0.0010500000000000002,1.0,1.6106286393345216e-09,7.007852786302843,981.277230443145,981.277230443145,108938.20569302792,108938.20569302313,981.277230443145,981.277230443145,54469.10284651397,54469.10284651167,-1.793322909333754e-12,0.0
0.0,0.00115,1.0,1.6106286393345216e-09,7.007852786302843,981.277230443145,981.277230443145,108938.20569302792,108938.20569302313,981.277230443145,981.277230443145,54469.10284651397,54469.10284651167,-1.793322909333754e-12,0.0
0.0,0.0012500000000000002,1.0,1.6106286393345216e-09,7.007852786302843,981.277230443145,981.277230443145,108938.20569302792,108938.20569302313,981.277230443145,981.277230443145,54469.10284651397,54469.10284651167,-1.793322909333754e-12,0.0
0.0,0.00135,1.0,1.6106286393345216e-09,7.007852786302843,981.277230443145,981.277230443145,108938.20569302792,108938.20569302313,981.277230443145,981.277230443145,54469.10284651397,54469.10284651167,-1.793322909333754e-12,0.0
