step,time_s,component,inventory_mol_m2,cumulative_net_in_mol_m2,balance_error_mol_m2,chemistry_error_mol_m3,water_relative_mismatch
0,0.0,Al,0.001787369779453644,0.0,0.0,2.8421709430404007e-11,7.080120331477949e-08
0,0.0,C,2.539196745073602,0.0,0.0,2.8421709430404007e-11,7.080120331477949e-08
0,0.0,Ca,326.70208076974245,0.0,0.0,2.8421709430404007e-11,7.080120331477949e-08
0,0.0,Cl,27.3404219342523,0.0,0.0,2.8421709430404007e-11,7.080120331477949e-08
0,0.0,Cx,28.613488157769,0.0,0.0,2.8421709430404007e-11,7.080120331477949e-08
0,0.0,Fe,1.9347412005142113,0.0,0.0,2.8421709430404007e-11,7.080120331477949e-08
0,0.0,H,75003.22707661339,0.0,0.0,2.8421709430404007e-11,7.080120331477949e-08
0,0.0,K,66.60786923795825,0.0,0.0,2.8421709430404007e-11,7.080120331477949e-08
0,0.0,Mg,222.15038947165525,0.0,0.0,2.8421709430404007e-11,7.080120331477949e-08
0,0.0,Na,288.6569673157226,0.0,0.0,2.8421709430404007e-11,7.080120331477949e-08
0,0.0,O,37539.014086031224,0.0,0.0,2.8421709430404007e-11,7.080120331477949e-08
0,0.0,Opa,1399.327492278893,0.0,0.0,2.8421709430404007e-11,7.080120331477949e-08
0,0.0,S,7.724184538401506,0.0,0.0,2.8421709430404007e-11,7.080120331477949e-08
0,0.0,Si,0.14360957240048822,0.0,0.0,2.8421709430404007e-11,7.080120331477949e-08
0,0.0,Sol,3321981.719178827,0.0,0.0,2.8421709430404007e-11,7.080120331477949e-08
0,0.0,Sr,8.077792707832103,0.0,0.0,2.8421709430404007e-11,7.080120331477949e-08
0,0.0,Tra,0.012018315914118338,0.0,0.0,2.8421709430404007e-11,7.080120331477949e-08
0,0.0,Zz,0.0,0.0,0.0,2.8421709430404007e-11,7.080120331477949e-08
1,3155760.0,Al,0.0017873697794527717,-8.692164069685253e-16,-3.1326610133115818e-18,1.3855583347321954e-10,6.830546658769504e-05
1,3155760.0,C,2.539196745034656,-3.894790910182297e-11,2.173576392175893e-15,1.3855583347321954e-10,6.830546658769504e-05
1,3155760.0,Ca,326.70208076966213,-8.052890838407766e-11,2.0915753375593546e-13,1.3855583347321954e-10,6.830546658769504e-05
1,3155760.0,Cl,27.340421933832914,-4.193955223063424e-10,8.330664979684523e-15,1.3855583347321954e-10,6.830546658769504e-05
1,3155760.0,Cx,28.613488157769,0.0,0.0,1.3855583347321954e-10,6.830546658769504e-05
1,3155760.0,Fe,1.9347412005136873,-5.245216565692072e-13,4.963889461333316e-16,1.3855583347321954e-10,6.830546658769504e-05
1,3155760.0,H,75003.22707548317,-1.1301679580123464e-06,-5.0193944450275106e-11,1.3855583347321954e-10,6.830546658769504e-05
1,3155760.0,K,66.60786923795312,-5.091615680446936e-12,-3.850287174098748e-14,1.3855583347321954e-10,6.830546658769504e-05
1,3155760.0,Mg,222.1503894715999,-5.508106991220367e-11,-2.559983487929298e-13,1.3855583347321954e-10,6.830546658769504e-05
1,3155760.0,Na,288.6569673153257,-3.9698794826500667e-10,5.035435998429796e-14,1.3855583347321954e-10,6.830546658769504e-05
1,3155760.0,O,37539.01408546559,-5.656342733051212e-07,1.3283785017015505e-12,1.3855583347321954e-10,6.830546658769504e-05
1,3155760.0,Opa,1399.327492278893,0.0,0.0,1.3855583347321954e-10,6.830546658769504e-05
1,3155760.0,S,7.724184538288628,-1.1287939078053734e-10,1.683599268128635e-15,1.3855583347321954e-10,6.830546658769504e-05
1,3155760.0,Si,0.1436095723986558,-1.832310462048177e-12,-1.12640095643885e-16,1.3855583347321954e-10,6.830546658769504e-05
1,3155760.0,Sol,3321981.719178827,0.0,0.0,1.3855583347321954e-10,6.830546658769504e-05
1,3155760.0,Sr,8.07779270782957,-2.5349290210322378e-12,1.8441680474806186e-15,1.3855583347321954e-10,6.830546658769504e-05
1,3155760.0,Tra,0.01201831591411837,-1.0222179261700812e-23,3.122503278976179e-17,1.3855583347321954e-10,6.830546658769504e-05
1,3155760.0,Zz,0.0,0.0,0.0,1.3855583347321954e-10,6.830546658769504e-05
2,6311520.0,Al,0.001787369779452257,-1.3822130068896057e-15,-4.69841215385153e-18,1.3145040611561853e-10,0.00011618452825918256
2,6311520.0,C,2.5391967450116706,-6.19342882707435e-11,2.939332683315183e-15,1.3145040611561853e-10,0.00011618452825918256
2,6311520.0,Ca,326.70208076958636,-1.5674207776406404e-10,6.500495722852314e-13,1.3145040611561853e-10,0.00011618452825918256
2,6311520.0,Cl,27.34042193358538,-6.66915560349523e-10,-6.956862264659855e-15,1.3145040611561853e-10,0.00011618452825918256
2,6311520.0,Cx,28.613488157769,0.0,0.0,1.3145040611561853e-10,0.00011618452825918256
2,6311520.0,Fe,1.9347412005116402,-2.5712029901192487e-12,1.4850969231121077e-16,1.3145040611561853e-10,0.00011618452825918256
2,6311520.0,H,75003.22707481614,-1.7971721429135162e-06,-7.66992811601738e-11,1.3145040611561853e-10,0.00011618452825918256
