time_s,x_m,phi,De_m2_s,pH,Al_c_mol_m3_water,Al_total_mol_m3_bulk,C_c_mol_m3_water,C_total_mol_m3_bulk,Ca_c_mol_m3_water,Ca_total_mol_m3_bulk,Cl_c_mol_m3_water,Cl_total_mol_m3_bulk,Cx_c_mol_m3_water,Cx_total_mol_m3_bulk,Fe_c_mol_m3_water,Fe_total_mol_m3_bulk,H_c_mol_m3_water,H_total_mol_m3_bulk,K_c_mol_m3_water,K_total_mol_m3_bulk,Mg_c_mol_m3_water,Mg_total_mol_m3_bulk,Na_c_mol_m3_water,Na_total_mol_m3_bulk,O_c_mol_m3_water,O_total_mol_m3_bulk,Opa_c_mol_m3_water,Opa_total_mol_m3_bulk,S_c_mol_m3_water,S_total_mol_m3_bulk,Si_c_mol_m3_water,Si_total_mol_m3_bulk,Sol_c_mol_m3_water,Sol_total_mol_m3_bulk,Sr_c_mol_m3_water,Sr_total_mol_m3_bulk,Tra_c_mol_m3_water,Tra_total_mol_m3_bulk,Zz_c_mol_m3_water,Zz_total_mol_m3_bulk,CSHExchanger_mol_m3_bulk,OpaExchanger_mol_m3_bulk,Sol_mol_m3_bulk
0.0,0.01,0.039999094894668595,9.99977372366715e-13,10.688601297819847,0.1442287220151338,0.005769018338420113,0.014995801494492329,0.0005998184869998118,5.398209800666399,18.407355518557324,9.963987703981637e-08,3.985504897008726e-09,0.0,95.37829363710294,5.4278822997846596e-06,2.1711037926455037e-07,110627.48035261678,4424.999084582423,33.85254895885564,46.52515984659221,0.00037240404030509114,1.4895825338094897e-05,18.89636282164506,14.580179546897273,55441.17200304819,2217.596700021557,0.0,1.0534476533242342e-06,30.464892404923845,1.218568122260417,2.0134728152820847,0.08053709020630362,0.0,959999.038534727,9.963987297355328e-08,3.985504897008726e-09,1.0015489888042441,0.04006105304484034,-3.2041459319907904e-15,0.0,47.68914681855147,1.0424917463558196e-06,959999.038534727
0.0,0.03,0.039999094894668595,9.99977372366715e-13,10.688601297819847,0.1442287220151338,0.005769018338420113,0.014995801494492329,0.0005998184869998118,5.398209800666399,18.407355518557324,9.963987703981637e-08,3.985504897008726e-09,0.0,95.37829363710294,5.4278822997846596e-06,2.1711037926455037e-07,110627.48035261678,4424.999084582423,33.85254895885564,46.52515984659221,0.00037240404030509114,1.4895825338094897e-05,18.89636282164506,14.580179546897273,55441.17200304819,2217.596700021557,0.0,1.0534476533242342e-06,30.464892404923845,1.218568122260417,2.0134728152820847,0.08053709020630362,0.0,959999.038534727,9.963987297355328e-08,3.985504897008726e-09,1.0015489888042441,0.04006105304484034,-3.2041459319907904e-15,0.0,47.68914681855147,1.0424917463558196e-06,959999.038534727
0.0,0.05,0.039999094894668595,9.99977372366715e-13,10.688601297819847,0.1442287220151338,0.005769018338420113,0.014995801494492329,0.0005998184869998118,5.398209800666399,18.407355518557324,9.963987703981637e-08,3.985504897008726e-09,0.0,95.37829363710294,5.4278822997846596e-06,2.1711037926455037e-07,110627.48035261678,4424.999084582423,33.85254895885564,46.52515984659221,0.00037240404030509114,1.4895825338094897e-05,18.89636282164506,14.580179546897273,55441.17200304819,2217.596700021557,0.0,1.0534476533242342e-06,30.464892404923845,1.218568122260417,2.0134728152820847,0.08053709020630362,0.0,959999.038534727,9.963987297355328e-08,3.985504897008726e-09,1.0015489888042441,0.04006105304484034,-3.2041459319907904e-15,0.0,47.68914681855147,1.0424917463558196e-06,959999.038534727
0.0,0.07,0.039999094894668595,9.99977372366715e-13,10.688601297819847,0.1442287220151338,0.005769018338420113,0.014995801494492329,0.0005998184869998118,5.398209800666399,18.407355518557324,9.963987703981637e-08,3.985504897008726e-09,0.0,95.37829363710294,5.4278822997846596e-06,2.1711037926455037e-07,110627.48035261678,4424.999084582423,33.85254895885564,46.52515984659221,0.00037240404030509114,1.4895825338094897e-05,18.89636282164506,14.580179546897273,55441.17200304819,2217.596700021557,0.0,1.0534476533242342e-06,30.464892404923845,1.218568122260417,2.0134728152820847,0.08053709020630362,0.0,959999.038534727,9.963987297355328e-08,3.985504897008726e-09,1.0015489888042441,0.04006105304484034,-3.2041459319907904e-15,0.0,47.68914681855147,1.0424917463558196e-06,959999.038534727
0.0,0.09,0.039999094894668595,9.99977372366715e-13,10.688601297819847,0.1442287220151338,0.005769018338420113,0.014995801494492329,0.0005998184869998118,5.398209800666399,18.407355518557324,9.963987703981637e-08,3.985504897008726e-09,0.0,95.37829363710294,5.4278822997846596e-06,2.1711037926455037e-07,110627.48035261678,4424.999084582423,33.85254895885564,46.52515984659221,0.00037240404030509114,1.4895825338094897e-05,18.89636282164506,14.580179546897273,55441.17200304819,2217.596700021557,0.0,1.0534476533242342e-06,30.464892404923845,1.218568122260417,2.0134728152820847,0.08053709020630362,0.0,959999.038534727,9.963987297355328e-08,3.985504897008726e-09,1.0015489888042441,0.04006105304484034,-3.2041459319907904e-15,0.0,47.68914681855147,1.0424917463558196e-06,959999.038534727
0.0,0.11,0.039999094894668595,9.99977372366715e-13,10.688601297819847,0.1442287220151338,0.005769018338420113,0.014995801494492329,0.0005998184869998118,5.398209800666399,18.407355518557324,9.963987703981637e-08,3.985504897008726e-09,0.0,95.37829363710294,5.4278822997846596e-06,2.1711037926455037e-07,110627.48035261678,4424.999084582423,33.85254895885564,46.52515984659221,0.00037240404030509114,1.4895825338094897e-05,18.89636282164506,14.580179546897273,55441.17200304819,2217.596700021557,0.0,1.0534476533242342e-06,30.464892404923845,1.218568122260417,2.0134728152820847,0.08053709020630362,0.0,959999.038534727,9.963987297355328e-08,3.985504897008726e-09,1.0015489888042441,0.04006105304484034,-3.2041459319907904e-15,0.0,47.68914681855147,1.0424917463558196e-06,959999.038534727
0.0,0.13,0.039999094894668595,9.99977372366715e-13,10.688601297819847,0.1442287220151338,0.005769018338420113,0.014995801494492329,0.0005998184869998118,5.398209800666399,18.407355518557324,9.963987703981637e-08,3.985504897008726e-09,0.0,95.37829363710294,5.4278822997846596e-06,2.1711037926455037e-07,110627.48035261678,4424.999084582423,33.85254895885564,46.52515984659221,0.00037240404030509114,1.4895825338094897e-05,18.89636282164506,14.580179546897273,55441.17200304819,2217.596700021557,0.0,1.0534476533242342e-06,30.464892404923845,1.218568122260417,2.0134728152820847,0.08053709020630362,0.0,959999.038534727,9.963987297355328e-08,3.985504897008726e-09,1.0015489888042441,0.04006105304484034,-3.2041459319907904e-15,0.0,47.68914681855147,1.0424917463558196e-06,959999.038534727
0.0,0.15000000000000002,0.039999094894668595,9.99977372366715e-13,10.688601297819847,0.1442287220151338,0.005769018338420113,0.014995801494492329,0.0005998184869998118,5.398209800666399,18.407355518557324,9.963987703981637e-08,3.985504897008726e-09,0.0,95.37829363710294,5.4278822997846596e-06,2.1711037926455037e-07,110627.48035261678,4424.999084582423,33.85254895885564,46.52515984659221,0.00037240404030509114,1.4895825338094897e-05,18.89636282164506,14.580179546897273,55441.17200304819,2217.596700021557,0.0,1.0534476533242342e-06,30.464892404923845,1.218568122260417,2.0134728152820847,0.08053709020630362,0.0,959999.038534727,9.963987297355328e-08,3.985504897008726e-09,1.0015489888042441,0.04006105304484034,-3.2041459319907904e-15,0.0,47.68914681855147,1.0424917463558196e-06,959999.038534727
0.0,0.16999999999999998,0.039999094894668595,9.99977372366715e-13,10.688601297819847,0.1442287220151338,0.005769018338420113,0.014995801494492329,0.0005998184869998118,5.398209800666399,18.407355518557324,9.963987703981637e-08,3.985504897008726e-09,0.0,95.37829363710294,5.4278822997846596e-06,2.1711037926455037e-07,110627.48035261678,4424.999084582423,33.85254895885564,46.52515984659221,0.00037240404030509114,1.4895825338094897e-05,18.89636282164506,14.580179546897273,55441.17200304819,2217.596700021557,0.0,1.0534476533242342e-06,30.464892404923845,1.218568122260417,2.0134728152820847,0.08053709020630362,0.0,959999.038534727,9.963987297355328e-08,3.985504897008726e-09,1.0015489888042441,0.04006105304484034,-3.2041459319907904e-15,0.0,47.68914681855147,1.0424917463558196e-06,959999.038534727
0.0,0.19,0.039999094894668595,9.99977372366715e-13,10.688601297819847,0.1442287220151338,0.005769018338420113,0.014995801494492329,0.0005998184869998118,5.398209800666399,18.407355518557324,9.963987703981637e-08,3.985504897008726e-09,0.0,95.37829363710294,5.4278822997846596e-06,2.1711037926455037e-07,110627.48035261678,4424.999084582423,33.85254895885564,46.52515984659221,0.00037240404030509114,1.4895825338094897e-05,18.89636282164506,14.580179546897273,55441.17200304819,2217.596700021557,0.0,1.0534476533242342e-06,30.464892404923845,1.218568122260417,2.0134728152820847,0.08053709020630362,0.0,959999.038534727,9.963987297355328e-08,3.985504897008726e-09,1.0015489888042441,0.04006105304484034,-3.2041459319907904e-15,0.0,47.68914681855147,1.0424917463558196e-06,959999.038534727
