time_s,x_m,phi,De_m2_s,pH,Al_c_mol_m3_water,Al_total_mol_m3_bulk,C_c_mol_m3_water,C_total_mol_m3_bulk,Ca_c_mol_m3_water,Ca_total_mol_m3_bulk,Cl_c_mol_m3_water,Cl_total_mol_m3_bulk,H_c_mol_m3_water,H_total_mol_m3_bulk,Mg_c_mol_m3_water,Mg_total_mol_m3_bulk,Na_c_mol_m3_water,Na_total_mol_m3_bulk,O_c_mol_m3_water,O_total_mol_m3_bulk,Si_c_mol_m3_water,Si_total_mol_m3_bulk,Zz_c_mol_m3_water,Zz_total_mol_m3_bulk,Gibbsite_mol_m3_bulk,Kaolinite_mol_m3_bulk,Aragonite_mol_m3_bulk,Calcite_mol_m3_bulk,Dolomite-dis_mol_m3_bulk,Portlandite_mol_m3_bulk,Magnesite_mol_m3_bulk,Brucite_mol_m3_bulk,Quartz_mol_m3_bulk
0.0,0.0025,0.5060963798562873,5.060963798562873e-10,8.721852842223006,0.00027337441116026507,1559.4088526159585,1.8781767915960466,1048.990140220538,0.4135368507027246,775.6780218510019,170.13522632137648,86.10482212727887,110385.9363936743,58984.74022657194,0.639987612678096,272.8947648153855,170.13522632137327,86.10482212727887,55198.17491081645,71597.76335421107,0.19821875811285544,18309.863447446856,-1.3059756148962467e-10,0.0,0.0,779.7043571162316,0.0,775.4687323483046,0.0,0.0,272.57086940163225,0.0,16750.35441611947
0.0,0.0075,0.5060963798562873,5.060963798562873e-10,8.721852842223006,0.00027337441116026507,1559.4088526159585,1.8781767915960466,1048.990140220538,0.4135368507027246,775.6780218510019,170.13522632137648,86.10482212727887,110385.9363936743,58984.74022657194,0.639987612678096,272.8947648153855,170.13522632137327,86.10482212727887,55198.17491081645,71597.76335421107,0.19821875811285544,18309.863447446856,-1.3059756148962467e-10,0.0,0.0,779.7043571162316,0.0,775.4687323483046,0.0,0.0,272.57086940163225,0.0,16750.35441611947
0.0,0.0125,0.5060963798562873,5.060963798562873e-10,8.721852842223006,0.00027337441116026507,1559.4088526159585,1.8781767915960466,1048.990140220538,0.4135368507027246,775.6780218510019,170.13522632137648,86.10482212727887,110385.9363936743,58984.74022657194,0.639987612678096,272.8947648153855,170.13522632137327,86.10482212727887,55198.17491081645,71597.76335421107,0.19821875811285544,18309.863447446856,-1.3059756148962467e-10,0.0,0.0,779.7043571162316,0.0,775.4687323483046,0.0,0.0,272.57086940163225,0.0,16750.35441611947
0.0,0.0175,0.5060963798562873,5.060963798562873e-10,8.721852842223006,0.00027337441116026507,1559.4088526159585,1.8781767915960466,1048.990140220538,0.4135368507027246,775.6780218510019,170.13522632137648,86.10482212727887,110385.9363936743,58984.74022657194,0.639987612678096,272.8947648153855,170.13522632137327,86.10482212727887,55198.17491081645,71597.76335421107,0.19821875811285544,18309.863447446856,-1.3059756148962467e-10,0.0,0.0,779.7043571162316,0.0,775.4687323483046,0.0,0.0,272.57086940163225,0.0,16750.35441611947
0.0,0.0225,0.5060963798562873,5.060963798562873e-10,8.721852842223006,0.00027337441116026507,1559.4088526159585,1.8781767915960466,1048.990140220538,0.4135368507027246,775.6780218510019,170.13522632137648,86.10482212727887,110385.9363936743,58984.74022657194,0.639987612678096,272.8947648153855,170.13522632137327,86.10482212727887,55198.17491081645,71597.76335421107,0.19821875811285544,18309.863447446856,-1.3059756148962467e-10,0.0,0.0,779.7043571162316,0.0,775.4687323483046,0.0,0.0,272.57086940163225,0.0,16750.35441611947
0.0,0.0275,0.5060963798562873,5.060963798562873e-10,8.721852842223006,0.00027337441116026507,1559.4088526159585,1.8781767915960466,1048.990140220538,0.4135368507027246,775.6780218510019,170.13522632137648,86.10482212727887,110385.9363936743,58984.74022657194,0.639987612678096,272.8947648153855,170.13522632137327,86.10482212727887,55198.17491081645,71597.76335421107,0.19821875811285544,18309.863447446856,-1.3059756148962467e-10,0.0,0.0,779.7043571162316,0.0,775.4687323483046,0.0,0.0,272.57086940163225,0.0,16750.35441611947
0.0,0.0325,0.5060963798562873,5.060963798562873e-10,8.721852842223006,0.00027337441116026507,1559.4088526159585,1.8781767915960466,1048.990140220538,0.4135368507027246,775.6780218510019,170.13522632137648,86.10482212727887,110385.9363936743,58984.74022657194,0.639987612678096,272.8947648153855,170.13522632137327,86.10482212727887,55198.17491081645,71597.76335421107,0.19821875811285544,18309.863447446856,-1.3059756148962467e-10,0.0,0.0,779.7043571162316,0.0,775.4687323483046,0.0,0.0,272.57086940163225,0.0,16750.35441611947
0.0,0.037500000000000006,0.5060963798562873,5.060963798562873e-10,8.721852842223006,0.00027337441116026507,1559.4088526159585,1.8781767915960466,1048.990140220538,0.4135368507027246,775.6780218510019,170.13522632137648,86.10482212727887,110385.9363936743,58984.74022657194,0.639987612678096,272.8947648153855,170.13522632137327,86.10482212727887,55198.17491081645,71597.76335421107,0.19821875811285544,18309.863447446856,-1.3059756148962467e-10,0.0,0.0,779.7043571162316,0.0,775.4687323483046,0.0,0.0,272.57086940163225,0.0,16750.35441611947
0.0,0.042499999999999996,0.5060963798562873,5.060963798562873e-10,8.721852842223006,0.00027337441116026507,1559.4088526159585,1.8781767915960466,1048.990140220538,0.4135368507027246,775.6780218510019,170.13522632137648,86.10482212727887,110385.9363936743,58984.74022657194,0.639987612678096,272.8947648153855,170.13522632137327,86.10482212727887,55198.17491081645,71597.76335421107,0.19821875811285544,18309.863447446856,-1.3059756148962467e-10,0.0,0.0,779.7043571162316,0.0,775.4687323483046,0.0,0.0,272.57086940163225,0.0,16750.35441611947
0.0,0.0475,0.5060963798562873,5.060963798562873e-10,8.721852842223006,0.00027337441116026507,1559.4088526159585,1.8781767915960466,1048.990140220538,0.4135368507027246,775.6780218510019,170.13522632137648,86.10482212727887,110385.9363936743,58984.74022657194,0.639987612678096,272.8947648153855,170.13522632137327,86.10482212727887,55198.17491081645,71597.76335421107,0.19821875811285544,18309.863447446856,-1.3059756148962467e-10,0.0,0.0,779.7043571162316,0.0,775.4687323483046,0.0,0.0,272.57086940163225,0.0,16750.35441611947
