step,time_s,component,inventory_mol_m2,cumulative_net_in_mol_m2,balance_error_mol_m2,chemistry_error_mol_m3,water_relative_mismatch
4,40000.0,Al,389.8522143515239,0.0,5.684341886080802e-14,2.364974704960332e-05,0.0005316009566729607
4,40000.0,C,3494.2965745589736,0.0,-9.094947017729282e-13,2.364974704960332e-05,0.0005316009566729607
4,40000.0,Ca,3446.8172065082094,0.0,4.547473508864641e-13,2.364974704960332e-05,0.0005316009566729607
4,40000.0,Cl,43.665869196110556,0.0,-7.105427357601002e-15,2.364974704960332e-05,0.0005316009566729607
4,40000.0,H,29152.597208634823,0.0,5.820766091346741e-11,2.364974704960332e-05,0.0005316009566729607
4,40000.0,Mg,68.22369190552583,0.0,9.947598300641403e-14,2.364974704960332e-05,0.0005316009566729607
4,40000.0,Na,43.66586919611057,0.0,7.105427357601002e-15,2.364974704960332e-05,0.0005316009566729607
4,40000.0,O,34819.64270341158,0.0,-2.1827872842550278e-11,2.364974704960332e-05,0.0005316009566729607
4,40000.0,Si,4577.46586501761,0.0,-9.094947017729282e-12,2.364974704960332e-05,0.0005316009566729607
4,40000.0,Zz,0.0,0.0,0.0,2.364974704960332e-05,0.0005316009566729607
5,50000.0,Al,389.85221435152386,0.0,0.0,3.982606244790077e-05,0.0005601603734753013
5,50000.0,C,3494.2965745589727,0.0,-1.8189894035458565e-12,3.982606244790077e-05,0.0005601603734753013
5,50000.0,Ca,3446.8172065082085,0.0,-4.547473508864641e-13,3.982606244790077e-05,0.0005601603734753013
5,50000.0,Cl,43.66586919611057,0.0,7.105427357601002e-15,3.982606244790077e-05,0.0005601603734753013
5,50000.0,H,29152.597208634827,0.0,6.184563972055912e-11,3.982606244790077e-05,0.0005601603734753013
5,50000.0,Mg,68.22369190552578,0.0,5.684341886080802e-14,3.982606244790077e-05,0.0005601603734753013
5,50000.0,Na,43.66586919611057,0.0,7.105427357601002e-15,3.982606244790077e-05,0.0005601603734753013
5,50000.0,O,34819.64270341158,0.0,-2.1827872842550278e-11,3.982606244790077e-05,0.0005601603734753013
5,50000.0,Si,4577.465865017608,0.0,-1.0913936421275139e-11,3.982606244790077e-05,0.0005601603734753013
5,50000.0,Zz,0.0,0.0,0.0,3.982606244790077e-05,0.0005601603734753013
6,60000.0,Al,389.8522143515239,0.0,5.684341886080802e-14,0.0005966788663158695,0.0005796859987970659
6,60000.0,C,3494.2965745589736,0.0,-9.094947017729282e-13,0.0005966788663158695,0.0005796859987970659
6,60000.0,Ca,3446.8172065082103,0.0,1.3642420526593924e-12,0.0005966788663158695,0.0005796859987970659
6,60000.0,Cl,43.66586919611058,0.0,1.4210854715202004e-14,0.0005966788663158695,0.0005796859987970659
6,60000.0,H,29152.597208634816,0.0,5.093170329928398e-11,0.0005966788663158695,0.0005796859987970659
6,60000.0,Mg,68.22369190552577,0.0,4.263256414560601e-14,0.0005966788663158695,0.0005796859987970659
6,60000.0,Na,43.665869196110584,0.0,2.1316282072803006e-14,0.0005966788663158695,0.0005796859987970659
6,60000.0,O,34819.64270341156,0.0,-3.637978807091713e-11,0.0005966788663158695,0.0005796859987970659
6,60000.0,Si,4577.465865017606,0.0,-1.2732925824820995e-11,0.0005966788663158695,0.0005796859987970659
6,60000.0,Zz,0.0,0.0,0.0,0.0005966788663158695,0.0005796859987970659
7,70000.0,Al,389.852214351524,0.0,1.7053025658242404e-13,6.425096898965421e-05,0.0005938562024041988
7,70000.0,C,3494.296574558972,0.0,-2.2737367544323206e-12,6.425096898965421e-05,0.0005938562024041988
7,70000.0,Ca,3446.8172065082094,0.0,4.547473508864641e-13,6.425096898965421e-05,0.0005938562024041988
7,70000.0,Cl,43.66586919611056,0.0,0.0,6.425096898965421e-05,0.0005938562024041988
7,70000.0,H,29152.597208634823,0.0,5.820766091346741e-11,6.425096898965421e-05,0.0005938562024041988
7,70000.0,Mg,68.22369190552583,0.0,9.947598300641403e-14,6.425096898965421e-05,0.0005938562024041988
7,70000.0,Na,43.665869196110584,0.0,2.1316282072803006e-14,6.425096898965421e-05,0.0005938562024041988
7,70000.0,O,34819.642703411555,0.0,-4.3655745685100555e-11,6.425096898965421e-05,0.0005938562024041988
7,70000.0,Si,4577.465865017608,0.0,-1.0913936421275139e-11,6.425096898965421e-05,0.0005938562024041988
7,70000.0,Zz,0.0,0.0,0.0,6.425096898965421e-05,0.0005938562024041988
8,80000.0,Al,389.852214351524,0.0,1.7053025658242404e-13,0.000595607481557181,0.0006046476095002343
8,80000.0,C,3494.2965745589718,0.0,-2.7284841053187847e-12,0.000595607481557181,0.0006046476095002343
8,80000.0,Ca,3446.8172065082094,0.0,4.547473508864641e-13,0.000595607481557181,0.0006046476095002343
8,80000.0,Cl,43.66586919611059,0.0,2.842170943040401e-14,0.000595607481557181,0.0006046476095002343
8,80000.0,H,29152.597208634823,0.0,5.820766091346741e-11,0.000595607481557181,0.0006046476095002343
8,80000.0,Mg,68.22369190552578,0.0,5.684341886080802e-14,0.000595607481557181,0.0006046476095002343
8,80000.0,Na,43.665869196110584,0.0,2.1316282072803006e-14,0.000595607481557181,0.0006046476095002343
8,80000.0,O,34819.64270341156,0.0,-3.637978807091713e-11,0.000595607481557181,0.0006046476095002343
8,80000.0,Si,4577.465865017606,0.0,-1.2732925824820995e-11,0.000595607481557181,0.0006046476095002343
8,80000.0,Zz,0.0,0.0,0.0,0.000595607481557181,0.0006046476095002343
9,90000.0,Al,389.852214351524,0.0,1.7053025658242404e-13,1.4104557521932293e-05,0.0006131956005385951
9,90000.0,C,3494.296574558973,0.0,-1.3642420526593924e-12,1.4104557521932293e-05,0.0006131956005385951
9,90000.0,Ca,3446.8172065082094,0.0,4.547473508864641e-13,1.4104557521932293e-05,0.0006131956005385951
9,90000.0,Cl,43.665869196110584,0.0,2.1316282072803006e-14,1.4104557521932293e-05,0.0006131956005385951
9,90000.0,H,29152.59720863483,0.0,6.548361852765083e-11,1.4104557521932293e-05,0.0006131956005385951
9,90000.0,Mg,68.2236919055258,0.0,7.105427357601002e-14,1.4104557521932293e-05,0.0006131956005385951
9,90000.0,Na,43.66586919611057,0.0,7.105427357601002e-15,1.4104557521932293e-05,0.0006131956005385951
9,90000.0,O,34819.64270341156,0.0,-3.637978807091713e-11,1.4104557521932293e-05,0.0006131956005385951
9,90000.0,Si,4577.465865017607,0.0,-1.1823431123048067e-11,1.4104557521932293e-05,0.0006131956005385951
9,90000.0,Zz,0.0,0.0,0.0,1.4104557521932293e-05,0.0006131956005385951
10,100000.0,Al,389.85221435152386,0.0,0.0,0.00016174398353996366,0.0006201708304208256
10,100000.0,C,3494.296574558974,0.0,-4.547473508864641e-13,0.00016174398353996366,0.0006201708304208256
10,100000.0,Ca,3446.8172065082085,0.0,-4.547473508864641e-13,0.00016174398353996366,0.0006201708304208256
10,100000.0,Cl,43.66586919611056,0.0,0.0,0.00016174398353996366,0.0006201708304208256
10,100000.0,H,29152.597208634816,0.0,5.093170329928398e-11,0.00016174398353996366,0.0006201708304208256
10,100000.0,Mg,68.22369190552575,0.0,2.842170943040401e-14,0.00016174398353996366,0.0006201708304208256
10,100000.0,Na,43.66586919611057,0.0,7.105427357601002e-15,0.00016174398353996366,0.0006201708304208256
10,100000.0,O,34819.642703411584,0.0,-1.4551915228366852e-11,0.00016174398353996366,0.0006201708304208256
10,100000.0,Si,4577.465865017605,0.0,-1.3642420526593924e-11,0.00016174398353996366,0.0006201708304208256
10,100000.0,Zz,0.0,0.0,0.0,0.00016174398353996366,0.0006201708304208256
