x,c_Ca(CO3)@,c_Ca+2,c_Mg(CO3)@,c_Mg+2,c_CO3-2,c_HCO3-,c_Cl-,c_OH-,c_H+,pH,Calcite_mol_m3,Dolomite-dis_mol_m3
-2.7755575615628914e-19,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,9.909808927646516,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,9.909808927646516,0.0,0.0
0.005,5.858762254538228e-16,9.999941884850602e-07,3.336115973986122e-10,1.000000001585336,5.640935165737124e-10,9.990964833710878e-07,2.000000003838714,0.00010635125962618742,0.00010535216396148805,7.001954667916507,0.0,0.0
0.005000000000000003,5.852303095651023e-16,9.99994071600749e-07,3.332438147397927e-10,1.0000000015860722,5.634750873139154e-10,9.990973526986953e-07,2.000000003841252,0.00010633570391871413,0.00010533660918659317,7.001954663758075,0.0,0.0
0.005000000000000004,5.854244125036187e-16,9.99994090350759e-07,3.3335436245247727e-10,1.0000000015861448,5.636591902862811e-10,9.9909707679802e-07,2.0000000038414285,0.00010633431392696895,0.00010533521928048902,7.001954664255598,0.0,0.0
0.01,5.855882744417173e-16,9.999938671959937e-07,3.334477429265189e-10,1.0000000015721193,5.638165371689451e-10,9.990966029158983e-07,2.0000000038108117,0.00010633202552823346,0.00010533292860337005,7.001954669075069,0.0,0.0
0.010000000000000009,5.853373077246409e-16,9.999938277077919e-07,3.333048125591689e-10,1.0000000015712975,5.635748323781097e-10,9.990969480628548e-07,2.000000003825989,0.00010636024675265728,0.00010536116658872338,7.001954634334413,0.0,0.0
0.01000000000000001,5.853769002839149e-16,9.999938154606926e-07,3.333273878199334e-10,1.0000000015715775,5.63614106924303e-10,9.990968739659484e-07,2.000000003826008,0.00010632531694480734,0.0001053262362689484,7.001954635031946,0.0,0.0
0.015,5.854635166971356e-16,9.999937889801637e-07,3.333767301351602e-10,1.0000000015345811,5.636963749577355e-10,9.990967158750707e-07,2.0000000036751286,0.00010639942728947187,0.00010540026978633393,7.001954793599555,0.0,0.0
0.015000000000000001,5.854515819950425e-16,9.999937697197537e-07,3.3336994045428304e-10,1.000000001529425,5.636848947270658e-10,9.990967148845722e-07,2.000000003671981,0.00010631998846125155,0.00010532083813794211,7.001954777952026,0.0,0.0
0.015000000000000008,5.854386142940466e-16,9.999937959716126e-07,3.3336254434344316e-10,1.0000000015030128,5.636726533571241e-10,9.99096760773912e-07,2.000000003702434,0.000106330645415545,0.00010533157833817176,7.001954607276797,0.0,0.0
0.01500000000000001,5.85263523574493e-16,9.999935960905885e-07,3.332628979008403e-10,1.0000000014834634,5.635055640727594e-10,9.990968276286148e-07,2.0000000037824526,0.00010633622129603168,0.00010533727346857249,7.001954363054063,0.0,0.0
0.02,5.857131756487502e-16,9.999937469927105e-07,3.3351885273368417e-10,1.0000000015218566,5.639374228559422e-10,9.99096290717121e-07,2.0000000030675995,0.000106320512833476,0.00010532077339152362,7.001955986924685,0.0,0.0
0.020000000000000018,5.859655278220583e-16,9.999937645758054e-07,3.3366249279414703e-10,1.0000000012999966,5.641800374794498e-10,9.990959220455317e-07,2.000000003164991,0.00010631729024336616,0.00010531809199450468,7.001954877517677,0.0,0.0
0.02000000000000002,5.84886694369977e-16,9.999935598312097e-07,3.330482936141141e-10,1.0000000010249255,5.631509780024242e-10,9.990973605595932e-07,2.0000000034523024,0.0001063669489906819,0.00010536858798498047,7.001953158429738,0.0,0.0
0.024999999999999967,5.880932047387002e-16,1.0008543746982422e-06,3.3471745250823224e-10,1.0000000011747403,5.659633164229018e-10,1.0027777697962335e-06,2.0000000010119408,0.00010634389431121263,0.0001053447577182689,7.001954751005174,0.0,0.0
0.02499999999999997,5.852699889258276e-16,9.9999353937194e-07,3.332665980531331e-10,0.9999999990072603,5.635105074349158e-10,9.99096762266452e-07,2.000000001947441,0.00010634471108849482,0.000105348880713019,7.001947971543338,0.0,0.0
0.025,5.90922713801725e-16,1.0022642712415552e-06,3.3572306816265725e-10,1.000000002690421,5.676637201975272e-10,1.0061739907370562e-06,2.000000000717087,0.00010635710013695789,0.00010535521715730497,7.001960381655436,0.0,0.0
0.025000000000000005,5.911228186915658e-16,1.0024843309998113e-06,3.35763027710109e-10,1.000000002590813,5.677316303925068e-10,1.0062931941423128e-06,2.0000000007214984,0.00010633449969838498,0.00010533249956651184,7.001960621119682,0.0,0.0
0.029999999999999968,6.105576295574138e-16,1.011879478228733e-06,3.4356534949170165e-10,1.0000000049754623,5.809240373493768e-10,1.0296393163256704e-06,1.9999999932436625,0.00010632845343282993,0.00010531878837870829,7.001976335971446,0.0,0.0
0.02999999999999997,5.852904173945557e-16,9.999935293925838e-07,3.332782363667746e-10,0.9999999906401901,5.635305909150289e-10,9.990967205653016e-07,1.9999999960842996,0.00010634855225883406,0.00010536359290155752,7.001925683162744,0.0,0.0
0.03,6.268161413134495e-16,1.0195959581980775e-06,3.5006188046083775e-10,1.0000000139651966,5.919087691960486e-10,1.0490358738584434e-06,1.999999992413888,0.00010641043448044821,0.00010538594575042349,7.00200672936308,0.0,0.0
0.030000000000000002,6.261291659959232e-16,1.0192699616114768e-06,3.4978937913763104e-10,1.0000000134776763,5.914480226606779e-10,1.0482234285034944e-06,1.9999999924442327,0.00010635579796330452,0.00010533215324458854,7.002004998412631,0.0,0.0
0.034999999999999976,7.392609175181584e-16,1.0704569951932297e-06,3.927818831704839e-10,1.000000045142575,6.641426956593537e-10,1.1767028413876554e-06,1.9999999675984288,0.00010635635336432696,0.00010527078377917734,7.002131961170997,0.0,0.0
0.03499999999999998,5.850453600067041e-16,9.999935241014984e-07,3.331386728469047e-10,0.9999999593825782,5.632943006294208e-10,9.990970911280223e-07,1.999999975650936,0.00010630475006276106,0.00010536187247343032,7.00183940413737,0.0,0.0
0.035,8.334008173695818e-16,1.1114479827856833e-06,4.269572816670903e-10,1.000000093253148,7.219287933086888e-10,1.2786258044587782e-06,1.9999999654942406,0.00010643354936822965,0.00010526971100945587,7.002292434358478,0.0,0.0
0.03999999999999997,1.6622602310307599e-15,1.3943069601188281e-06,6.689488587453332e-10,1.0000003474417851,1.131104650997057e-09,1.9989031676697983e-06,1.9999998891365462,0.00010663101594666992,0.00010503782037931077,7.003172745693428,0.0,0.0
0.03999999999999998,5.847713433470536e-16,9.999935213420834e-07,3.329826159107706e-10,0.9999998759995201,5.630309834108744e-10,9.990975077427616e-07,1.9999999105998978,0.00010623109184769982,0.00010538992923040122,7.0016308612882625,0.0,0.0
0.04,2.426436010422948e-15,1.619299469276713e-06,8.532468639525901e-10,1.000000605784018,1.4427281574361555e-09,2.544935277398847e-06,1.999999883652467,0.00010683712799918304,0.00010481843422515218,7.004045130640646,0.0,0.0
